IMF1,IMF1Y
-63.71287994,-28.12350943
-28.12350943,47.85463449
47.85463449,102.9809148
102.9809148,71.59170195
71.59170195,-13.84581571
-13.84581571,-89.86931097
-89.86931097,-95.59035837
-95.59035837,-47.1788217
-47.1788217,18.54105014
18.54105014,61.55113813
61.55113813,53.50064332
53.50064332,16.05159183
16.05159183,-19.22392899
-19.22392899,-31.12641181
-31.12641181,-10.69188552
-10.69188552,15.78521318
15.78521318,30.10334668
30.10334668,34.35906417
34.35906417,31.82665153
31.82665153,26.27230203
26.27230203,18.4835989
18.4835989,8.181628735
8.181628735,-5.609958353
-5.609958353,-24.04187134
-24.04187134,-46.81207206
-46.81207206,-67.80753386
-67.80753386,-79.46248292
-79.46248292,-73.58856965
-73.58856965,-41.64887289
-41.64887289,12.28658914
12.28658914,65.71949242
65.71949242,100.9440509
100.9440509,102.6182605
102.6182605,61.87556289
61.87556289,-4.248815175
-4.248815175,-72.244201
-72.244201,-119.1702738
-119.1702738,-127.0195337
-127.0195337,-89.27125436
-89.27125436,-9.01460487
-9.01460487,82.87995644
82.87995644,138.0026544
138.0026544,129.4070909
129.4070909,45.35515169
45.35515169,-70.00692504
-70.00692504,-113.2180264
-113.2180264,-51.7278473
-51.7278473,29.11735908
29.11735908,73.52426621
73.52426621,55.53125354
55.53125354,9.354261561
9.354261561,-23.67549982
-23.67549982,-33.94330411
-33.94330411,-20.17291848
-20.17291848,12.04323427
12.04323427,35.77870147
35.77870147,27.29886867
27.29886867,-1.633405807
-1.633405807,-28.66934401
-28.66934401,-49.89044218
-49.89044218,-66.4371308
-66.4371308,-79.44984036
-79.44984036,-90.34309099
